id,generator,judge,dramatic_potenzialeStorytelling,dramatic_situazioneDrammatica,dramatic_realizzazioneElementiDinamici,dramatic_turningPoints__eventoScatenantePresente,dramatic_turningPoints__eventoScatenanteOrdinato,dramatic_turningPoints__eventoScatenanteScena,dramatic_turningPoints__climaxPresente,dramatic_turningPoints__climaxOrdinato,dramatic_turningPoints__climaxScena,dramatic_turningPoints__risoluzionePresente,dramatic_turningPoints__risoluzioneOrdinato,dramatic_turningPoints__risoluzioneScena
ds_0003,ds,humanDrama,3.0,3.0,3.0,True,True,1.0,True,True,4.0,True,True,8.0
ds_0004,ds,humanDrama,2.0,3.0,3.0,True,True,1.0,True,True,5.0,True,True,7.0
ds_0006,ds,humanDrama,2.0,2.0,1.0,True,True,3.0,True,True,6.0,True,True,7.0
ds_0009,ds,humanDrama,3.0,3.0,2.0,True,True,3.0,True,True,7.0,True,True,8.0
ds_0011,ds,humanDrama,2.0,2.0,2.0,False,,,True,True,6.0,False,,
ds_0022,ds,humanDrama,2.0,2.0,2.0,True,True,2.0,True,True,5.0,True,True,7.0
ds_0033,ds,humanDrama,2.0,3.0,3.0,True,True,2.0,True,True,7.0,True,True,8.0
ds_0042,ds,humanDrama,2.0,3.0,2.0,True,True,2.0,False,,,True,True,8.0
ds_0043,ds,humanDrama,3.0,3.0,2.0,True,True,2.0,True,True,6.0,True,True,8.0
ds_0044,ds,humanDrama,1.0,1.0,1.0,False,,,False,,,False,,
ds_0047,ds,humanDrama,1.0,1.0,1.0,False,,,False,,,False,,
ds_0050,ds,humanDrama,2.0,2.0,2.0,True,True,1.0,True,True,6.0,True,True,7.0
ds_0053,ds,humanDrama,2.0,3.0,3.0,True,True,2.0,False,,,False,,
ds_0054,ds,humanDrama,1.0,3.0,2.0,False,,,False,,,False,,
ds_0056,ds,humanDrama,1.0,1.0,1.0,False,,,False,,,False,,
ds_0064,ds,humanDrama,1.0,1.0,1.0,True,True,1.0,True,True,5.0,True,True,8.0
ds_0069,ds,humanDrama,1.0,2.0,1.0,True,True,1.0,True,True,6.0,True,True,7.0
ds_0070,ds,humanDrama,1.0,1.0,1.0,False,,,False,,,False,,
ds_0079,ds,humanDrama,1.0,2.0,1.0,True,True,2.0,True,True,7.0,True,True,8.0
ds_0092,ds,humanDrama,1.0,1.0,1.0,False,,,True,True,5.0,True,True,7.0
gem_0001,gem,humanDrama,1.0,1.0,1.0,True,True,1.0,True,True,6.0,True,True,7.0
gem_0002,gem,humanDrama,2.0,2.0,2.0,True,True,2.0,True,True,7.0,True,True,8.0
gem_0004,gem,humanDrama,1.0,2.0,1.0,True,True,2.0,True,True,6.0,True,True,8.0
gem_0005,gem,humanDrama,2.0,2.0,2.0,True,True,2.0,False,,,True,True,8.0
gem_0011,gem,humanDrama,3.0,1.0,1.0,True,True,2.0,True,True,5.0,True,True,7.0
gem_0016,gem,humanDrama,2.0,2.0,2.0,False,,,True,True,6.0,True,True,8.0
gem_0018,gem,humanDrama,2.0,3.0,3.0,False,,,False,,,True,True,8.0
gem_0022,gem,humanDrama,1.0,2.0,1.0,True,True,1.0,False,,,False,,
gem_0026,gem,humanDrama,1.0,1.0,1.0,False,,,False,,,False,,
gem_0031,gem,humanDrama,1.0,1.0,1.0,False,,,True,True,6.0,True,True,7.0
gem_0032,gem,humanDrama,3.0,2.0,2.0,True,True,2.0,True,True,5.0,True,True,7.0
gem_0042,gem,humanDrama,3.0,1.0,1.0,False,,,False,,,True,True,7.0
gem_0051,gem,humanDrama,2.0,1.0,1.0,False,,,True,True,5.0,True,True,6.0
gem_0059,gem,humanDrama,1.0,1.0,1.0,False,,,False,,,False,,
gem_0063,gem,humanDrama,1.0,1.0,1.0,True,True,2.0,False,,,True,True,7.0
gem_0064,gem,humanDrama,2.0,1.0,1.0,True,True,1.0,False,,,True,True,7.0
gem_0076,gem,humanDrama,1.0,1.0,1.0,True,True,2.0,False,,,True,True,7.0
gem_0077,gem,humanDrama,2.0,2.0,2.0,True,True,1.0,False,,,True,True,7.0
gem_0094,gem,humanDrama,2.0,2.0,2.0,True,True,2.0,True,True,5.0,True,True,6.0
gem_0096,gem,humanDrama,1.0,1.0,1.0,False,,,False,,,False,,
gpt_0001,gpt,humanDrama,3.0,1.0,1.0,True,True,1.0,False,,,True,True,7.0
gpt_0002,gpt,humanDrama,2.0,3.0,3.0,True,True,1.0,False,,,True,True,7.0
gpt_0005,gpt,humanDrama,3.0,2.0,2.0,True,True,1.0,True,True,5.0,True,True,6.0
gpt_0008,gpt,humanDrama,1.0,2.0,1.0,False,,,False,,,False,,
gpt_0009,gpt,humanDrama,1.0,1.0,1.0,True,True,2.0,True,True,4.0,False,,
gpt_0011,gpt,humanDrama,2.0,1.0,1.0,False,,,False,,,True,True,7.0
