id,historical_plausibilita__EventiStorici,historical_plausibilita__PersonaggiStorici,historical_plausibilita__LuoghiAmbientazioni,historical_aderenzaEventoOriginale,noteUmane
ds_0003,2 - Tendenzialmente Plausibili,3 - Sempre Plausibili,3 - Sempre Plausibili,2 - Rielaborativo,"Interessante riferimento alle statuette in cera. ""assaggista"" :D"
ds_0004,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,
ds_0006,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,1 - Divergente,interessante sul piano narrativo ma del tutto lontano dalla cultura egizia delle immagini.
ds_0009,2 - Tendenzialmente Plausibili,3 - Sempre Plausibili,3 - Sempre Plausibili,2 - Rielaborativo,"""Le dita del faraone stringono con forza il bracciale del ureo"" possibile tic narrativo visto anche in Ds_0003. Qui però l'oggetto è ibrido incomprensibile."
ds_0011,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,
ds_0022,1 - Implausibili,2 - Tendenzialmente Plausibili,1 - Implausibili,1 - Divergente,
ds_0033,1 - Implausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,1 - Divergente,"ruoli invertiti per ambiguità della descrizione curatoriale. Nel papiro Hermias è il denunciante, Horus e i Coachiti difendono possesso casa."
ds_0042,1 - Implausibili,1 - Implausibili,1 - Implausibili,2 - Rielaborativo,"Deir el-Medina non ha quartieri o botteghe. Calcare di Tura impensabile. ""I segni della sua antica prosperità sono gone"" :D"
ds_0043,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,"""esperti traccianti"""
ds_0044,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,1 - Implausibili,2 - Rielaborativo,Si pensa che la stele venga da Gebelein non da Deir el-Medina
ds_0047,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,
ds_0050,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,1 - Implausibili,1 - Divergente,Si ritiene che la vicenda si svolga nella tebaide non a Crocodilopolis. Datazione dovrebbe essere I sec. a.C.
ds_0053,3 - Sempre Plausibili,2 - Tendenzialmente Plausibili,3 - Sempre Plausibili,2 - Rielaborativo,
